COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2006.0,668.8159593711983
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2007.0,771.8174791883777
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2008.0,804.1810061121951
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2009.0,855.7082566383875
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2010.0,909.3442163205376
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2011.0,964.8325358851675
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2012.0,1101.33603103675
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2013.0,1182.918863169357
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2014.0,1259.869337422449
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2015.0,1419.130104749399
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2016.0,1616.660277790933
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2017.0,1801.035252795604
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2018.0,1928.092954970489
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2019.0,2009.123336054859
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2020.0,2315.778086617052
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2021.0,2454.938771524984
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2022.0,2716.876787239635
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2023.0,2939.07817342404
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2004.0,0.0307120219721767
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2005.0,0.056265862898006
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2006.0,0.1144925119408223
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2007.0,0.128173290561621
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2008.0,0.1227329510258527
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2009.0,0.1551976004772616
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2010.0,0.1534104498068242
Argentina,"Number of deposit accounts, Credit unions and credit cooperatives","Per 1,000 adults",2011.0,0.1807419192569109
