COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2011,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2012,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2013,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2014,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2015,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2016,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2017,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2018,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2019,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2020,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2021,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2022,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2023,
Argentina,"Loan accounts, Commercial banks",Number,2004,5866314.0
Argentina,"Loan accounts, Commercial banks",Number,2005,6935071.0
Argentina,"Loan accounts, Commercial banks",Number,2006,8522021.0
Argentina,"Loan accounts, Commercial banks",Number,2007,10214674.0
Argentina,"Loan accounts, Commercial banks",Number,2008,11688415.0
Argentina,"Loan accounts, Commercial banks",Number,2009,12354995.0
Argentina,"Loan accounts, Commercial banks",Number,2010,13050802.0
Argentina,"Loan accounts, Commercial banks",Number,2011,14381878.0
Argentina,"Loan accounts, Commercial banks",Number,2012,15673674.0
Argentina,"Loan accounts, Commercial banks",Number,2013,14633977.0
Argentina,"Loan accounts, Commercial banks",Number,2014,15251864.0
Argentina,"Loan accounts, Commercial banks",Number,2015,16462932.0
Argentina,"Loan accounts, Commercial banks",Number,2016,17713775.0
Argentina,"Loan accounts, Commercial banks",Number,2017,17807195.0
Argentina,"Loan accounts, Commercial banks",Number,2018,18208827.0
Argentina,"Loan accounts, Commercial banks",Number,2019,17653860.0
Argentina,"Loan accounts, Commercial banks",Number,2020,16422822.0
Argentina,"Loan accounts, Commercial banks",Number,2021,16155173.0
Argentina,"Loan accounts, Commercial banks",Number,2022,17219318.0
Argentina,"Loan accounts, Commercial banks",Number,2023,17898840.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2004,76654.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2005,110749.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2006,159251.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2007,215360.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2008,262314.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2009,249483.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2010,238513.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2011,209952.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2012,226564.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2013,27336.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2014,34928.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2015,34170.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2016,25463.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2017,14750.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2018,25473.0
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2019,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2020,
Argentina,"Loan accounts, Credit unions and credit cooperatives",Number,2021,
